experiment_id,initialization_timestamp,artifact_time_stamp,running_status,start_time,stop_time,execution_time,message,experiment_file_path,accuracy,is_model_accepted,created_time_stamp
5c25757c-7ad7-4d1d-b96b-f0a28e9d7f3c,2022-12-14-17-24-16,2022-12-14-17-24-16,True,2022-12-14 17:24:18.156634,,,Pipeline has been started.,experiment.csv,,,2022-12-14 17:24:18.158589
330e3823-dc5f-49a9-b6de-89f6451198ef,2022-12-14-17-26-03,2022-12-14-17-26-03,True,2022-12-14 17:26:04.936649,,,Pipeline has been started.,experiment.csv,,,2022-12-14 17:26:04.939838
b2151426-79f0-4879-b29a-81ecc090555a,2022-12-14-17-27-14,2022-12-14-17-27-14,True,2022-12-14 17:27:15.940257,,,Pipeline has been started.,experiment.csv,,,2022-12-14 17:27:15.943332
1eda6fe5-f77e-4d17-8a07-72f7ad692300,2022-12-14-17-28-08,2022-12-14-17-28-08,True,2022-12-14 17:28:09.502394,,,Pipeline has been started.,experiment.csv,,,2022-12-14 17:28:09.502394
6d965b0b-009e-4eb3-9b8b-9fa261c0829a,2022-12-14-17-30-03,2022-12-14-17-30-03,True,2022-12-14 17:30:04.957995,,,Pipeline has been started.,experiment.csv,,,2022-12-14 17:30:04.959993
65e175db-c5d4-4e24-99e0-77315514d91e,2022-12-14-17-31-45,2022-12-14-17-31-45,True,2022-12-14 17:31:46.247402,,,Pipeline has been started.,experiment.csv,,,2022-12-14 17:31:46.248368
fdfc45ab-2b15-4083-92da-3ca6b1dae674,2022-12-14-17-33-11,2022-12-14-17-33-11,True,2022-12-14 17:33:12.225016,,,Pipeline has been started.,experiment.csv,,,2022-12-14 17:33:12.225016
093c094d-30db-4cbf-a28b-2a265cc1829b,2022-12-14-17-34-22,2022-12-14-17-34-22,True,2022-12-14 17:34:23.368127,,,Pipeline has been started.,experiment.csv,,,2022-12-14 17:34:23.371730
6c418c60-84bf-430a-a045-963d5768b795,2022-12-14-17-35-26,2022-12-14-17-35-26,True,2022-12-14 17:35:27.379169,,,Pipeline has been started.,experiment.csv,,,2022-12-14 17:35:27.379593
2f09c752-48ba-488b-93e5-c04595ac3d47,2022-12-14-17-36-08,2022-12-14-17-36-08,True,2022-12-14 17:36:09.693672,,,Pipeline has been started.,experiment.csv,,,2022-12-14 17:36:09.697679
3096e768-a702-407f-8819-dd75c4b0ba2c,2022-12-14-17-36-36,2022-12-14-17-36-36,True,2022-12-14 17:36:37.311852,,,Pipeline has been started.,experiment.csv,,,2022-12-14 17:36:37.315283
